sample,origin,PLK1,ERO1A,KNL1,DEPDC1B,TK1,DKK1,C1QTNF6,STEAP1,ECT2,n_epi_cells,group
LUNG_T25,tLung,0.010492941287922984,0.16640185876199085,0.0036917273363368665,0.0051227807092049,0.0321567335344818,0.024028113760246318,0.011242766229719878,0.0,0.03586972508447925,226,tumour_origin
LUNG_T28,tLung,0.02338340862567958,0.3568399102363836,0.006630104760222378,0.009739771573201151,0.1846742083132218,0.06004683093156106,0.017474756572607747,0.12684932618876016,0.06780093560254281,1228,tumour_origin
LUNG_T30,tLung,0.0024241265397434756,0.12676841390575208,0.0,0.0014693826478128142,0.03855944201718121,0.012653701768849711,0.003253942905033274,0.0,0.03460944975355583,882,tumour_origin
LUNG_T31,tLung,0.010822190648586213,0.4285485769526359,0.007486687775085672,0.007904167962164562,0.10933696900465235,0.12986007428871427,0.09105158636256372,0.02714236702273202,0.052306938968883374,272,tumour_origin
LUNG_T34,tLung,0.007097496803814502,0.3770640951178819,0.0036463900733101576,0.001894137996446175,0.07826038141025198,0.0027978789140554435,0.013025523178525676,0.014008719283175054,0.07684353278305886,2486,tumour_origin
NS_02,mBrain,0.002170402630537609,0.5897217600476762,0.014163523880034288,0.0014189888051140231,0.004080743370448789,0.028123538541434123,0.0514334460793912,0.4112986233391327,0.04182731720272705,181,tumour_origin
NS_03,mBrain,0.02719660841771448,2.04466623743287,0.014410957852582954,0.014375425008328016,0.35142697790823496,0.027798867395189362,0.27379835714787787,0.27505314235780226,0.04393046735869343,2720,tumour_origin
NS_04,mBrain,0.04036737182774455,0.2731673335545773,0.0050992849456222835,0.030686332732954374,0.11564108457750484,0.0029526426847215547,0.011913979583221794,0.1468779239779238,0.09641043409431838,1234,tumour_origin
NS_06,mBrain,0.0,0.2959621521871696,0.0,0.0011767477677618783,0.1212286071971375,0.3664146818943366,0.030588686167736637,0.3777538631492757,0.03397309166961119,84,tumour_origin
NS_07,mBrain,0.0177463263130493,1.049026645443085,0.012580636776727926,0.003733979971602782,0.06323937417075355,0.026050396945267795,0.00494606345109954,0.3957903418318937,0.09562193128633291,5112,tumour_origin
NS_12,mBrain,0.029539941349224098,0.3008138986095703,0.008521992769394606,0.01640477256417302,0.18174933856066244,0.001021670838649641,0.011747558374926359,0.34325525223163,0.045962445427344,2815,tumour_origin
NS_13,mBrain,0.02285190807038522,0.3132574287230238,0.0025382306498625586,0.004837859078955104,0.04566081048591079,0.013813230553264706,0.018245283106471208,0.012268144988798932,0.018977292511725665,1363,tumour_origin
NS_16,mBrain,0.01598871204120201,0.5167010155110278,0.00373246894779282,0.016136958234010856,0.09911434664811103,0.6021116437231575,0.04990453326333459,0.10458056528511529,0.052424145984101854,81,tumour_origin
NS_17,mBrain,0.02968729648806585,0.40751097162998257,0.0028462967296076416,0.00766684092381255,0.20149002665787424,0.0001564106456154389,0.013701970299651199,0.08522160564820333,0.02522307904093409,1117,tumour_origin
NS_19,mBrain,0.08317908537076371,0.7330994928563461,0.06608153327601135,0.03355346736985479,0.4965527785629924,0.0011625602244858173,0.018500001581311234,0.13223456460744237,0.22619995091930797,756,tumour_origin
