cell_type,gene,n_cells,mean_expr,pct_expressing
Fibroblasts,MKI67,3794,0.006153685131843766,0.632577754348972
Fibroblasts,MS4A1,3794,0.005642402703291634,0.5798629414865577
Fibroblasts,MZB1,3794,0.01836379649051641,2.319451765946231
Fibroblasts,NAPSA,3794,0.07914623176951421,7.959936742224564
Fibroblasts,NKG7,3794,0.10524444025745637,8.961518186610437
Fibroblasts,PECAM1,3794,0.022272356786696406,2.8729573010015814
Fibroblasts,PLK1,3794,0.005259930113936511,0.7116499736425936
Fibroblasts,PTPRC,3794,0.060049478495869876,5.877701634159198
Fibroblasts,SFTPC,3794,0.7113079661509861,49.52556668423827
Fibroblasts,STEAP1,3794,0.33141924052106453,31.259884027411704
Fibroblasts,TK1,3794,0.014359813784337011,1.6341591987348445
Fibroblasts,TOP2A,3794,0.008774539876646737,1.238798102266737
Fibroblasts,VWF,3794,0.006792749326483715,0.8170795993674222
MAST cells,C1QTNF6,3396,0.0024756074127312826,0.2061248527679623
MAST cells,KNL1,3396,0.003426931551275319,0.23557126030624262
MAST cells,CD14,3396,0.04948667262911521,3.4746760895170787
MAST cells,CD3D,3396,0.04917804782969134,3.3274440518256774
MAST cells,CD3E,3396,0.024471559053538837,1.8256772673733805
MAST cells,CD4,3396,0.056423896761981285,4.269729093050648
MAST cells,CD68,3396,0.4445158699688987,28.65135453474676
MAST cells,CD79A,3396,0.015926698615767416,1.0895170789163722
MAST cells,CD8A,3396,0.011683102428022837,0.8244994110718492
MAST cells,CLDN5,3396,0.010550302085212713,0.7067137809187279
MAST cells,COL1A1,3396,0.012127442386163123,0.88339222614841
MAST cells,DCN,3396,0.03638071477274258,2.502944640753828
MAST cells,DEPDC1B,3396,0.004764028412230471,0.35335689045936397
MAST cells,DKK1,3396,0.0,0.0
MAST cells,ECT2,3396,0.0005255332906234063,0.029446407538280327
MAST cells,EPCAM,3396,0.02983107877779085,1.9434628975265018
MAST cells,ERO1A,3396,0.05052513601554333,3.7985865724381624
MAST cells,FCGR3A,3396,0.0493357206442378,3.4452296819787986
MAST cells,GNLY,3396,0.06076821094263684,3.8869257950530036
MAST cells,KRT18,3396,0.05003359418146353,3.3274440518256774
MAST cells,KRT19,3396,0.3036797475510585,20.43580683156655
MAST cells,LYZ,3396,0.31168401206192,18.963486454652532
MAST cells,MARCO,3396,0.1016753844579627,6.595995288574794
MAST cells,MKI67,3396,0.004895816858271742,0.32391048292108365
MAST cells,MS4A1,3396,0.010653882338674966,0.6772673733804476
